,steps,metric,training_loss,validation_loss,validation_acc
2781,2727,training_loss,6.591460704803467,,
2782,2728,training_loss,4.1786298751831055,,
2783,2729,training_loss,4.521596431732178,,
2784,2730,training_loss,10.716508865356445,,
2785,2731,training_loss,5.208122253417969,,
2786,2732,training_loss,5.541591644287109,,
2787,2733,training_loss,4.845032215118408,,
2788,2734,training_loss,4.165593147277832,,
2789,2735,training_loss,12.773524284362793,,
2790,2736,training_loss,6.197067737579346,,
2791,2737,training_loss,5.073120594024658,,
2792,2738,training_loss,4.723207950592041,,
2793,2739,training_loss,5.756579875946045,,
2794,2740,training_loss,5.903785705566406,,
2795,2741,training_loss,5.475826740264893,,
2796,2742,training_loss,5.568815231323242,,
2797,2743,training_loss,37.1274299621582,,
2798,2744,training_loss,4.581623554229736,,
2799,2745,training_loss,16.461721420288086,,
2800,2746,training_loss,43.40200424194336,,
2801,2747,training_loss,5.303825378417969,,
2802,2748,training_loss,5.0264081954956055,,
2803,2749,training_loss,4.211246967315674,,
2804,2750,training_loss,14.28075122833252,,
2805,2751,training_loss,14.352322578430176,,
2806,2752,training_loss,41.23252868652344,,
2807,2753,training_loss,6.2914910316467285,,
2808,2754,training_loss,4.566645622253418,,
2809,2755,training_loss,4.937760829925537,,
2810,2756,training_loss,5.043283462524414,,
2811,2757,training_loss,5.059384346008301,,
2812,2758,training_loss,37.073123931884766,,
2813,2759,training_loss,4.5003204345703125,,
2814,2760,training_loss,4.377741813659668,,
2815,2761,training_loss,12.11400032043457,,
2816,2762,training_loss,7.555221080780029,,
2817,2763,training_loss,5.79962158203125,,
2818,2764,training_loss,5.983142852783203,,
2819,2765,training_loss,4.69288444519043,,
2820,2766,training_loss,5.095494747161865,,
2821,2767,training_loss,12.036443710327148,,
2822,2768,training_loss,5.181471347808838,,
2823,2769,training_loss,7.1183648109436035,,
2824,2770,training_loss,5.037434101104736,,
2825,2771,training_loss,5.006056308746338,,
2826,2772,training_loss,3.8289146423339844,,
2827,2773,training_loss,5.032778263092041,,
2828,2774,training_loss,4.407233715057373,,
2829,2775,training_loss,4.63574743270874,,
2830,2776,training_loss,5.005659580230713,,
2831,2777,training_loss,10.348280906677246,,
2832,2778,training_loss,5.58420467376709,,
2833,2779,training_loss,5.771858215332031,,
2834,2780,training_loss,4.44482946395874,,
2835,2781,training_loss,5.339967250823975,,
2836,2782,training_loss,9.68503475189209,,
2837,2783,training_loss,43.29228973388672,,
2838,2784,training_loss,4.87993049621582,,
2839,2785,training_loss,6.180359363555908,,
2840,2786,training_loss,6.8054914474487305,,
2841,2787,training_loss,4.603122711181641,,
2842,2788,training_loss,50.9183349609375,,
2843,2789,training_loss,7.654186725616455,,
2844,2790,training_loss,11.304550170898438,,
2845,2791,training_loss,5.346069812774658,,
2846,2792,training_loss,5.236830711364746,,
2847,2793,training_loss,4.643736839294434,,
2848,2794,training_loss,36.712398529052734,,
2849,2795,training_loss,5.343387603759766,,
2850,2796,training_loss,11.132524490356445,,
2851,2797,training_loss,4.5594706535339355,,
2852,2798,training_loss,4.392322063446045,,
2853,2799,training_loss,4.403918743133545,,
2854,2800,validation_loss,5.870055499964397,,
2855,2800,validation_acc,0.9041666666666667,,
2856,2800,training_loss,5.747479438781738,,
2857,2801,training_loss,13.665766716003418,,
2858,2802,training_loss,36.78002166748047,,
2859,2803,training_loss,6.281792640686035,,
2860,2804,training_loss,10.882494926452637,,
2861,2805,training_loss,38.0306510925293,,
2862,2806,training_loss,4.772722244262695,,
2863,2807,training_loss,10.861137390136719,,
2864,2808,training_loss,45.36954879760742,,
2865,2809,training_loss,3.929597854614258,,
2866,2810,training_loss,4.93205451965332,,
2867,2811,training_loss,4.80843448638916,,
2868,2812,training_loss,5.198667526245117,,
2869,2813,training_loss,5.723158836364746,,
2870,2814,training_loss,9.277234077453613,,
2871,2815,training_loss,12.861886978149414,,
2872,2816,training_loss,43.328857421875,,
2873,2817,training_loss,4.561967372894287,,
2874,2818,training_loss,4.640552520751953,,
2875,2819,training_loss,4.33479118347168,,
2876,2820,training_loss,6.430476188659668,,
2877,2821,training_loss,4.890727519989014,,
2878,2822,training_loss,5.309667110443115,,
2879,2823,training_loss,39.78157424926758,,
2880,2824,training_loss,10.67007064819336,,
2881,2825,training_loss,5.406532287597656,,
2882,2826,training_loss,6.75466251373291,,
2883,2827,training_loss,6.016376495361328,,
2884,2828,training_loss,4.87335729598999,,
2885,2829,training_loss,4.8810224533081055,,
2886,2830,training_loss,5.948950290679932,,
2887,2831,training_loss,6.139260768890381,,
2888,2832,training_loss,4.603409290313721,,
2889,2833,training_loss,4.399596691131592,,
2890,2834,training_loss,5.831103801727295,,
2891,2835,training_loss,12.740375518798828,,
2892,2836,training_loss,6.740598678588867,,
2893,2837,training_loss,4.151975154876709,,
2894,2838,training_loss,4.84744119644165,,
2895,2839,training_loss,6.204286098480225,,
2896,2840,training_loss,13.152786254882812,,
2897,2841,training_loss,4.4922661781311035,,
2898,2842,training_loss,5.753506660461426,,
2899,2843,training_loss,3.8096916675567627,,
2900,2844,training_loss,10.287168502807617,,
2901,2845,training_loss,5.123577117919922,,
2902,2846,training_loss,5.394625186920166,,
2903,2847,training_loss,5.4994940757751465,,
2904,2848,training_loss,4.326760292053223,,
2905,2849,training_loss,4.000182628631592,,
2906,2850,training_loss,4.329776763916016,,
2907,2851,training_loss,5.34945821762085,,
2908,2852,training_loss,5.8816633224487305,,
2909,2853,training_loss,7.131568908691406,,
2910,2854,training_loss,18.104429244995117,,
2911,2855,training_loss,6.211581707000732,,
2912,2856,training_loss,4.201487064361572,,
2913,2857,training_loss,44.16445541381836,,
2914,2858,training_loss,6.878201961517334,,
2915,2859,training_loss,5.251107215881348,,
2916,2860,training_loss,5.395122051239014,,
2917,2861,training_loss,10.1069974899292,,
2918,2862,training_loss,4.555086135864258,,
2919,2863,training_loss,36.999752044677734,,
2920,2864,training_loss,4.7800612449646,,
2921,2865,training_loss,5.546252727508545,,
2922,2866,training_loss,4.103636741638184,,
2923,2867,training_loss,5.713474750518799,,
2924,2868,training_loss,5.905002117156982,,
2925,2869,training_loss,12.150559425354004,,
2926,2870,training_loss,10.078737258911133,,
